"ATTACK ?
DEFENSE ?",PKMN,NOR,FIR,WAT,ELE,GRA,ICE,FIG,POI,GRO,FLY,PSY,BUG,ROC,GHO,DRA,DAR,STE,FAI
STEELFIRE,1,0.5,,2,,0.25,0.25,2,0,4,0.5,0.5,0.25,,,0.5,,0.25,0.25
STEELWATER,1,0.5,,0.5,2,,0.25,2,0,2,0.5,0.5,0.5,0.5,,0.5,,0.25,0.5
STEELELECTRIC,4,0.5,2,,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,,0.5,,0.25,0.5
STEELGRASS,3,0.5,4,0.5,0.5,0.25,,2,0,,,0.5,,0.5,,0.5,,0.5,0.5
STEELICE,2,0.5,4,,,0.5,0.25,4,0,2,0.5,0.5,0.5,,,0.5,,,0.5
STEELFIGHTING,3,0.5,2,,,0.5,0.5,2,0,2,,,0.25,0.25,,0.5,0.5,0.5,
STEELPOISON,0,0.5,2,,,0.25,0.5,,0,4,0.5,,0.25,0.5,,0.5,,0.5,0.25
STEELGROUND,5,0.5,2,2,0,,,2,0,2,0.5,0.5,0.5,0.25,,0.5,,0.5,0.5
STEELFLYING,2,0.5,2,,2,0.25,,,0,0,0.5,0.5,0.25,,,0.5,,0.5,0.5
STEELPSYCHIC,9,0.5,2,,,0.5,0.5,,0,2,0.5,0.25,,0.5,2,0.5,2,0.5,0.5
STEELBUG,7,0.5,4,,,0.25,0.5,,0,,,0.5,0.5,,,0.5,,0.5,0.5
STEELROCK,7,0.25,,2,,,0.5,4,0,4,0.25,0.5,0.5,0.5,,0.5,,,0.5
STEELGHOST,4,0,2,,,0.5,0.5,0,0,2,0.5,0.5,0.25,0.5,2,0.5,2,0.5,0.5
STEELDRAGON,1,0.5,,0.5,0.5,0.25,,2,0,2,0.5,0.5,0.5,0.5,,,,0.5,
STEELDARK,2,0.5,2,,,0.5,0.5,4,0,2,0.5,0,,0.5,0.5,0.5,0.5,0.5,
STEELFAIRY,4,0.5,2,,,0.5,0.5,,0,2,0.5,0.5,0.25,0.5,,0,0.5,,0.5
FAIRY,16,,,,,,,0.5,2,,,,0.5,,,0,0.5,2,
FAIRYNORMAL,5,,,,,,,,2,,,,0.5,,0,0,0.5,2,
FAIRYFIRE,0,,0.5,2,,0.5,0.5,0.5,2,2,,,0.25,2,,0,0.5,,0.5
FAIRYWATER,4,,0.5,0.5,2,2,0.5,0.5,2,,,,0.5,,,0,0.5,,
FAIRYELECTRIC,2,,,,0.5,,,0.5,2,2,0.5,,0.5,,,0,0.5,,
FAIRYGRASS,5,,2,0.5,0.5,0.5,2,0.5,4,0.5,2,,,,,0,0.5,2,
FAIRYICE,1,,2,,,,0.5,,2,,,,0.5,2,,0,0.5,4,
FAIRYFIGHTING,0,,,,,,,0.5,2,,2,2,0.25,0.5,,0,0.25,2,2
FAIRYPOISON,0,,,,,0.5,,0.25,,2,,2,0.25,,,0,0.5,2,0.5
FAIRYGROUND,0,,,2,0,2,2,0.5,,,,,0.5,0.5,,0,0.5,2,
FAIRYFLYING,2,,,,2,0.5,2,0.25,2,0,,,0.25,2,,0,0.5,2,
FAIRYPSYCHIC,7,,,,,,,0.25,2,,,0.5,,,2,0,,2,
FAIRYBUG,2,,2,,,0.5,,0.25,2,0.5,2,,0.5,2,,0,0.5,2,
FAIRYROCK,3,0.5,0.5,2,,2,,,,2,0.5,,0.5,,,0,0.5,4,
FAIRYGHOST,1,0,,,,,,0,,,,,0.25,,2,0,,2,
FAIRYDRAGON,1,,0.5,0.5,0.5,0.5,2,0.5,2,,,,0.5,,,0,0.5,2,2
FAIRYDARK,0,,,,,,,,2,,,0,,,0.5,0,0.25,2,2
FAIRYSTEEL,4,0.5,2,,,0.5,0.5,,0,2,0.5,0.5,0.25,0.5,,0,0.5,,0.5
